"Region","Total","State_Municipal","Private"
"Republic of Bashkortostan","169","148.1","20.9"
"Mari El Republic","29.9","23.3","6.6"
"The Republic of Mordovia","41.4","38.8","2.6"
"Republic of Tatarstan","209.6","159.4","50.2"
"Udmurt republic","73.3","65.8","7.5"
"Chuvash Republic","68.2","62.1","6.2"
"Perm region","102.4","88.1","14.3"
"Kirov region","54.2","45.8","8.4"
"Nizhny Novgorod Region","166.8","142.4","24.4"
"Orenburg region","81.1","69","12.1"
"Penza region","59","51.1","7.9"
"Samara Region","162.3","135","27.3"
"Saratov region","121.4","117.3","4"
"Ulyanovsk region","57.3","52.6","4.7"
